headline,abstract,url,date,section,word_count,keywords
The Tech Arsenal That Could Power Trump’s Immigration Crackdown,Border enforcement agencies have spent billions assembling surveillance tools to track and find people. These could be critical in President Trump’s immigration agenda.,https://www.nytimes.com/2025/01/25/technology/trump-immigration-deportation-surveillance.html,2025-01-25T10:00:49Z,Technology,1689,"Illegal Immigration, Computers and the Internet, Surveillance of Citizens by Government, Human Trafficking, United States Politics and Government, Immigration Detention, Immigration and Emigration, Facial Recognition Software, Government Contracts and Procurement, Identification Devices, Data-Mining and Database Marketing, Mobile Applications, Cellebrite Mobile Synchronization Ltd, Clearview AI Inc, Customs and Border Protection (US), Homeland Security Department, Immigration and Customs Enforcement (US), LexisNexis Group, Palantir Technologies, GEO Group Inc, Trump, Donald J, Deportation"
How Tech Created a ‘Recipe for Loneliness’,"Technology and loneliness are interlinked, researchers have found, stoked by the ways we interact with social media, text messaging and binge-watching.",https://www.nytimes.com/2024/11/10/technology/personaltech/technology-loneliness.html,2024-11-10T10:01:07Z,Technology,1923,"Computers and the Internet, Social Media, Mobile Applications, Text Messaging, Loneliness, Anxiety and Stress, Mental Health and Disorders, Video Recordings, Downloads and Streaming, Content Type: Service"
Instant Videos Could Represent the Next Leap in A.I. Technology,A start-up in New York is among a group of companies working on systems that can produce short videos based on a few words typed into a computer.,https://www.nytimes.com/2023/04/04/technology/runway-ai-videos.html,2023-04-04T09:00:44Z,Technology,1291,"Artificial Intelligence, Runway AI, Video Recordings, Downloads and Streaming, Computers and the Internet, Rumors and Misinformation, Midjourney Inc, OpenAI Labs"
"As A.I. Booms, Lawmakers Struggle to Understand the Technology","Tech innovations are again racing ahead of Washington’s ability to regulate them, lawmakers and A.I. experts said.",https://www.nytimes.com/2023/03/03/technology/artificial-intelligence-regulation-congress.html,2023-03-03T10:00:31Z,Technology,1356,"Artificial Intelligence, Regulation and Deregulation of Industry, Facial Recognition Software, Driverless and Semiautonomous Vehicles, Law and Legislation, Computers and the Internet, Lobbying and Lobbyists, Innovation, Federal Trade Commission, Musk, Elon, Altman, Samuel H, OpenAI Labs, ChatGPT, Senate, House of Representatives, United States Politics and Government"
The Illicit Flow of Technology to Russia Goes Through This Hong Kong Address,"Defying sanctions, Russia has obtained nearly $4 billion in restricted chips since the war began in Ukraine. Many were shipped through a cluster of shell companies in Hong Kong.",https://www.nytimes.com/2024/07/25/technology/russia-sanctions-chips.html,2024-07-25T04:00:29Z,Technology,2687,"Russia, Computer Chips, Embargoes and Sanctions, Russian Invasion of Ukraine (2022), International Trade and World Market, International Relations, Defense and Military Forces, Chichenev, Alexey, Vinogradov, Mikhail, Commerce Department, Hong Kong, China, Ukraine, United States, Toronto (Ontario)"
OpenAI Unveils A.I. Technology for ‘Natural Conversation’,"The new technology, called GPT-4.5, signifies the end of an era for OpenAI.",https://www.nytimes.com/2025/02/27/technology/openai-artificial-intelligence-technology.html,2025-02-27T20:00:08Z,Technology,576,"Artificial Intelligence, Computers and the Internet, ChatGPT, OpenAI Labs, Research"
"Ego, Fear and Money: How the A.I. Fuse Was Lit",The people who were most afraid of the risks of artificial intelligence decided they should be the ones to build it. Then distrust fueled a spiraling competition.,https://www.nytimes.com/2023/12/03/technology/ai-openai-musk-page-altman.html,2023-12-03T10:00:56Z,Technology,4208,"Artificial Intelligence, Musk, Elon, Page, Larry, DeepMind Technologies Ltd, Anthropic AI LLC, Start-ups, Baidu Inc, Computers and the Internet, Microsoft Corp"
OpenAI’s Former Chief Technology Officer Starts Her Own Company,"Mira Murati, who left OpenAI last year, has helped establish Thinking Machines Lab, a new artificial intelligence start-up.",https://www.nytimes.com/2025/02/18/technology/openai-mira-murati-startup.html,2025-02-18T18:30:05Z,Technology,408,"Murati, Mira, Thinking Machines Lab, Artificial Intelligence, Computers and the Internet, Start-ups, Venture Capital, OpenAI Labs, Altman, Samuel H"
"Beyond Silicon Valley, Spending on Technology Is Resilient","Despite an uncertain outlook, corporations plan to continue investing in their digital projects — a source of stability for the economy.",https://www.nytimes.com/2023/02/13/technology/technology-spending-resilient.html,2023-02-13T10:00:31Z,Technology,1316,"Computers and the Internet, Cloud Computing, Enterprise Computing, Fedex Corporation, Johnson Controls Inc, General Motors, JPMorgan Chase & Company, Gartner Inc, IDC Data Corp"
"A.I. Poses ‘Risk of Extinction,’ Industry Leaders Warn","Leaders from OpenAI, Google DeepMind, Anthropic and other A.I. labs warn that future systems could be as deadly as pandemics and nuclear weapons.",https://www.nytimes.com/2023/05/30/technology/ai-threat-warning.html,2023-05-30T09:01:01Z,Technology,917,"Artificial Intelligence, Doomsday, Computers and the Internet, Anthropic AI LLC, Google Inc, OpenAI Labs, DeepMind Technologies Ltd, United States Politics and Government"
